hotel_id,country,region,resort_type,room_type,hotel_size_rooms,month,is_school_holiday,is_weekend,days_to_christmas,rate_eur_per_night
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,12,1,0,2,840.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,1,0,0,345,760.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,2,1,0,315,1220.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,3,0,0,280,920.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,4,1,0,251,800.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,5,0,0,229,2650.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,6,0,0,180,4390.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,7,1,0,160,4340.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,8,1,1,137,4320.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,10,0,1,81,2410.0
le_sirenuse,Italy,Europe,city,Superior Room,58.0,12,1,0,2,1160.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,1,0,0,345,1090.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,2,1,0,315,1340.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,3,0,0,280,1290.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,4,1,0,251,1260.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,5,0,0,229,3390.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,6,0,0,180,5520.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,7,1,0,160,5740.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,8,1,1,137,6120.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,10,0,1,81,3130.0
le_sirenuse,Italy,Europe,city,Junior Suite,58.0,12,1,0,2,1440.0
le_sirenuse,Italy,Europe,city,Suite,,1,0,0,345,1510.0
le_sirenuse,Italy,Europe,city,Suite,58.0,2,1,0,315,1580.0
le_sirenuse,Italy,Europe,city,Suite,58.0,3,0,0,280,1640.0
le_sirenuse,Italy,Europe,city,Suite,58.0,4,1,0,251,1430.0
le_sirenuse,Italy,Europe,city,Suite,58.0,5,0,0,229,4840.0
le_sirenuse,Italy,Europe,city,Suite,58.0,6,0,0,180,7800.0
le_sirenuse,Italy,Europe,city,Suite,58.0,7,1,0,160,7440.0
le_sirenuse,Italy,Europe,city,Suite,58.0,8,1,1,137,8070.0
le_sirenuse,Italy,Europe,city,Suite,58.0,10,0,1,81,5190.0
le_sirenuse,Italy,Europe,city,Suite,58.0,12,1,0,2,2300.0
le_sirenuse,Italy,Europe,city,Grand Suite,58.0,1,0,0,345,2320.0
le_sirenuse,Italy,Europe,city,Grand Suite,58.0,2,1,0,315,2880.0
le_sirenuse,Italy,Europe,city,Grand Suite,58.0,3,0,0,280,2380.0
le_sirenuse,Italy,Europe,city,Grand Suite,58.0,4,1,0,251,2310.0
le_sirenuse,Italy,Europe,city,Grand Suite,,5,0,0,229,6170.0
le_sirenuse,Italy,Europe,city,Grand Suite,58.0,6,0,0,180,10820.0
le_sirenuse,Italy,Europe,city,Grand Suite,58.0,7,1,0,160,11250.0
le_sirenuse,Italy,Europe,city,Grand Suite,58.0,8,1,1,137,11410.0
le_sirenuse,Italy,Europe,city,Grand Suite,,10,0,1,81,7570.0
le_sirenuse,Italy,Europe,city,Grand Suite,58.0,12,1,0,2,3020.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,1,0,0,345,3030.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,2,1,0,315,4160.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,3,0,0,280,3630.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,4,1,0,251,3710.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,5,0,0,229,10180.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,6,0,0,180,15330.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,7,1,0,160,18020.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,8,1,1,137,16260.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,10,0,1,81,10290.0
le_sirenuse,Italy,Europe,city,Presidential Suite,58.0,12,1,0,2,5890.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,1,0,0,345,7230.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,2,1,0,315,9350.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,3,0,0,280,7520.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,4,1,0,251,4370.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,5,0,0,229,2380.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,6,0,0,180,1870.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,7,1,0,160,1790.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,8,1,1,137,2250.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,10,0,1,81,5400.0
cheval_blanc_randheli,Maldives,Asia,island,Deluxe Room,46.0,12,1,0,2,12680.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,1,0,0,345,9790.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,2,1,0,315,11420.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,3,0,0,280,10070.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,4,1,0,251,5830.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,5,0,0,229,2370.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,6,0,0,180,2930.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,7,1,0,160,2510.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,8,1,1,137,3240.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,10,0,1,81,6000.0
cheval_blanc_randheli,Maldives,Asia,island,Superior Room,46.0,12,1,0,2,12280.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,1,0,0,345,13390.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,2,1,0,315,15930.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,3,0,0,280,12630.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,4,1,0,251,8530.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,5,0,0,229,4200.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,6,0,0,180,3660.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,7,1,0,160,3250.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,8,1,1,137,3240.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,10,0,1,81,8010.0
cheval_blanc_randheli,Maldives,Asia,island,Junior Suite,46.0,12,1,0,2,17610.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,1,0,0,345,18700.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,2,1,0,315,20670.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,3,0,0,280,19090.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,4,1,0,251,11560.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,5,0,0,229,5390.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,6,0,0,180,4430.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,7,1,0,160,4420.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,8,1,1,137,6020.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,10,0,1,81,11270.0
cheval_blanc_randheli,Maldives,Asia,island,Suite,46.0,12,1,0,2,29490.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,1,0,0,345,25130.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,2,1,0,315,31430.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,3,0,0,280,26540.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,4,1,0,251,16580.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,5,0,0,229,6400.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,6,0,0,180,6480.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,7,1,0,160,7130.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,8,1,1,137,8990.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,10,0,1,81,19120.0
cheval_blanc_randheli,Maldives,Asia,island,Grand Suite,46.0,12,1,0,2,40040.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,1,0,0,345,35240.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,2,1,0,315,44020.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,3,0,0,280,41320.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,4,1,0,251,22610.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,5,0,0,229,10970.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,6,0,0,180,11230.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,7,1,0,160,12130.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,,8,1,1,137,11880.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,10,0,1,81,24720.0
cheval_blanc_randheli,Maldives,Asia,island,Presidential Suite,46.0,12,1,0,2,62700.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,1,0,0,345,700.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,2,1,0,315,740.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,3,0,0,280,770.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,4,1,0,251,780.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,,5,0,0,229,620.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,6,0,0,180,1530.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,7,1,0,160,2850.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,8,1,1,137,2830.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,10,0,1,81,700.0
bulgari_resort_bali,Indonesia,Asia,beach,Deluxe Room,59.0,12,1,0,2,4100.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,1,0,0,345,860.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,2,1,0,315,920.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,3,0,0,280,790.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,4,1,0,251,800.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,5,0,0,229,830.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,6,0,0,180,1990.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,7,1,0,160,3710.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,8,1,1,137,3990.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,10,0,1,81,930.0
bulgari_resort_bali,Indonesia,Asia,beach,Superior Room,59.0,12,1,0,2,6090.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,1,0,0,345,1070.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,2,1,0,315,1270.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,3,0,0,280,1150.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,4,1,0,251,1270.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,5,0,0,229,1210.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,6,0,0,180,2670.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,7,1,0,160,4780.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,8,1,1,137,5110.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,10,0,1,81,1420.0
bulgari_resort_bali,Indonesia,Asia,beach,Junior Suite,59.0,12,1,0,2,7070.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,1,0,0,345,1900.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,2,1,0,315,2400.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,3,0,0,280,1870.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,4,1,0,251,1860.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,5,0,0,229,1790.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,6,0,0,180,4280.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,7,1,0,160,6230.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,8,1,1,137,7220.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,10,0,1,81,2020.0
bulgari_resort_bali,Indonesia,Asia,beach,Suite,59.0,12,1,0,2,9790.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,1,0,0,345,2310.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,2,1,0,315,2590.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,3,0,0,280,2430.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,4,1,0,251,2280.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,5,0,0,229,2390.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,6,0,0,180,5740.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,7,1,0,160,9460.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,8,1,1,137,10310.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,10,0,1,81,2560.0
bulgari_resort_bali,Indonesia,Asia,beach,Grand Suite,59.0,12,1,0,2,15330.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,1,0,0,345,3500.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,2,1,0,315,4600.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,3,0,0,280,3880.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,4,1,0,251,4060.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,5,0,0,229,3740.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,6,0,0,180,9010.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,7,1,0,160,13940.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,8,1,1,137,15920.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,10,0,1,81,4290.0
bulgari_resort_bali,Indonesia,Asia,beach,Presidential Suite,59.0,12,1,0,2,20020.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,1,0,0,345,1660.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,2,1,0,315,2260.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,3,0,0,280,2160.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,4,1,0,251,1680.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,5,0,0,229,2180.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,6,0,0,180,4290.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,7,1,0,160,6620.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,8,1,1,137,7460.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,10,0,1,81,2270.0
the_brando,French Polynesia,Pacific,island,Deluxe Room,35.0,12,1,0,2,8790.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,1,0,0,345,2560.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,2,1,0,315,2620.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,3,0,0,280,2530.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,4,1,0,251,2440.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,5,0,0,229,2490.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,6,0,0,180,5540.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,7,1,0,160,8960.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,8,1,1,137,9040.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,10,0,1,81,2910.0
the_brando,French Polynesia,Pacific,island,Superior Room,35.0,12,1,0,2,10350.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,1,0,0,345,3490.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,2,1,0,315,3940.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,3,0,0,280,3500.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,4,1,0,251,3150.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,5,0,0,229,3740.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,6,0,0,180,7460.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,7,1,0,160,10850.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,8,1,1,137,11640.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,10,0,1,81,3090.0
the_brando,French Polynesia,Pacific,island,Junior Suite,35.0,12,1,0,2,17700.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,1,0,0,345,4390.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,2,1,0,315,5790.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,3,0,0,280,5190.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,4,1,0,251,4960.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,5,0,0,229,4530.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,6,0,0,180,9440.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,7,1,0,160,17120.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,8,1,1,137,17850.0
the_brando,French Polynesia,Pacific,island,Suite,35.0,10,0,1,81,4370.0
the_brando,French Polynesia,Pacific,island,Suite,,12,1,0,2,21420.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,1,0,0,345,6840.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,2,1,0,315,7760.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,3,0,0,280,6550.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,4,1,0,251,7330.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,5,0,0,229,6220.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,6,0,0,180,14010.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,7,1,0,160,22490.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,8,1,1,137,23910.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,10,0,1,81,7510.0
the_brando,French Polynesia,Pacific,island,Grand Suite,35.0,12,1,0,2,39110.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,1,0,0,345,9210.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,2,1,0,315,12200.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,3,0,0,280,11440.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,4,1,0,251,10400.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,5,0,0,229,10350.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,6,0,0,180,19180.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,7,1,0,160,36480.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,8,1,1,137,32050.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,10,0,1,81,9510.0
the_brando,French Polynesia,Pacific,island,Presidential Suite,35.0,12,1,0,2,49960.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,1,0,0,345,1600.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,2,1,0,315,1430.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,3,0,0,280,1300.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,4,1,0,251,1570.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,5,0,0,229,1660.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,6,0,0,180,2870.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,7,1,0,160,5140.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,8,1,1,137,4750.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,10,0,1,81,3590.0
singita_grumeti,Tanzania,Africa,mountain,Deluxe Room,34.0,12,1,0,2,7740.0
singita_grumeti,Tanzania,Africa,mountain,Superior Room,34.0,1,0,0,345,1690.0
singita_grumeti,Tanzania,Africa,mountain,Superior Room,34.0,2,1,0,315,2000.0
singita_grumeti,Tanzania,Africa,mountain,Superior Room,34.0,3,0,0,280,1980.0
singita_grumeti,Tanzania,Africa,mountain,Superior Room,34.0,4,1,0,251,2130.0
singita_grumeti,Tanzania,Africa,mountain,Superior Room,34.0,5,0,0,229,2060.0
singita_grumeti,Tanzania,Africa,mountain,Superior Room,34.0,6,0,0,180,4240.0
